,club
1970-71,Barcelona
1971-72,Real Madrid
1972-73,Atletico de Madrid
1973-74,Barcelona
1974-75,Real Madrid
1975-76,Real Madrid
1976-77,Atletico de Madrid
1977-78,Real Madrid
1978-79,Real Madrid
1979-80,Real Madrid
1980-81,Real Madrid
1981-82,Real Sociedad
1982-83,Athletic Club
1983-84,Real Madrid
1984-85,Barcelona
1985-86,Real Madrid
1986-87,Real Madrid
1987-88,Real Madrid
1988-89,Real Madrid
1989-90,Real Madrid
1990-91,Barcelona
1991-92,Barcelona
1992-93,Barcelona
1993-94,Barcelona
1994-95,Real Madrid
1995-96,Atletico de Madrid
1996-97,Real Madrid
1997-98,Barcelona
1998-99,Barcelona
1999-00,Deportivo
2000-01,Real Madrid
2001-02,Valencia
2002-03,Real Madrid
2003-04,Valencia
2004-05,Barcelona
2005-06,Barcelona
2006-07,Barcelona
2007-08,Real Madrid
2008-09,Barcelona
2009-10,Barcelona
2010-11,Barcelona
2011-12,Real Madrid
2012-13,Barcelona
2013-14,Atletico de Madrid
2014-15,Barcelona
2015-16,Barcelona
2016-17,Real Madrid
