year,1963,1983,1989,1992,1995,1998,2001,2004,2007,2010,2013,2016
1,-6405,-7939,-15151,-18951,-19967,-33773,-29129,-32787,-36200,-88315,-81354,-80620
2,-4430,-3542,-8975,-10985,-11322,-20804,-16041,-17423,-21771,-56902,-54339,-50920
3,-3458,-1932,-6437,-5954,-7360,-12617,-9010,-11065,-12437,-37913,-38615,-34580
4,-2689,-727,-3526,-3807,-4213,-8440,-4918,-6969,-8222,-26959,-25778,-25749
5,-2080,-85,-1586,-1895,-2349,-4426,-2100,-3459,-5327,-17022,-19127,-17300
6,-1514,0,-933,-839,-940,-2375,-677,-1488,-2281,-11882,-13465,-11710
7,-1003,0,-224,-84,-16,-885,0,-216,-892,-7936,-9331,-7998
8,-548,0,0,0,0,0,0,0,0,-4974,-6290,-5170
9,-295,302,0,0,0,0,0,1,0,-2885,-3908,-2818
10,-18,724,0,0,94,0,135,254,35,-1105,-2114,-950
11,6,1219,0,168,501,148,542,1145,359,-66,-691,0
12,6,1661,93,553,1175,472,1192,1908,1100,0,0,60
13,6,1992,373,1140,1724,885,2032,2416,1853,0,1,320
14,6,2415,746,1509,2553,1608,2845,2951,2571,133,206,680
15,160,2873,1120,2012,3461,2287,3658,3561,3474,774,557,1100
16,437,3460,1866,2683,4353,3143,4471,4197,4354,1470,1237,1560
17,794,4023,2146,3254,5481,4131,5419,5062,5362,2211,2011,2350
18,1144,4754,2799,3857,6421,5238,6612,5977,6369,3207,2939,3230
19,1298,5469,3732,4746,7172,6123,7859,6931,7353,3869,3712,4080
20,1821,6293,4105,5920,8143,7259,9213,8228,8488,4753,4434,4800
21,2314,7029,4777,6960,9286,8263,11042,9780,9496,5598,5186,5620
22,2793,7855,5803,8221,10805,9369,12194,11319,11349,6356,6094,6410
23,3156,9176,7277,9516,12215,11066,13725,13036,13028,7140,7094,7651
24,3839,10480,8415,11069,13483,12763,15554,14880,14568,8124,8259,8971
25,4436,11627,10542,12326,15660,14637,17369,16851,16386,9196,9074,10275
26,5064,12989,12165,13970,17226,16378,20052,18441,18806,10396,9899,11451
27,5913,14461,14311,15431,18745,18694,22491,20692,21574,11584,10930,13041
28,6664,15961,15393,17693,21251,21025,24943,23274,23971,13043,12373,14920
29,7882,18436,17632,19253,23537,23165,28452,26389,27445,14590,13776,16900
30,9230,21457,19405,21634,25542,26440,31297,29760,30745,16248,15260,18900
31,10454,23623,20935,23731,28031,29317,34224,33575,34254,17906,16910,21001
32,11512,25492,23883,26162,29879,32165,37462,36398,37960,20006,18767,23100
33,12417,27445,27484,28175,32589,35411,40781,40525,42037,22438,20622,26100
34,13543,30000,29667,30809,35376,38318,44033,44004,46321,25975,22684,28500
35,15469,33083,32279,33508,37741,40428,46593,47946,50594,28331,25056,31105
36,16712,35684,35455,35554,40607,43526,49859,50731,55967,31513,27840,34220
37,18034,38565,38437,37902,42752,46728,53517,54165,60472,33994,30934,38070
38,19185,42039,41236,41222,46197,50608,57175,57294,65208,37692,33356,41360
39,20643,44988,44967,44191,49267,54976,62364,60702,69828,40886,36295,45030
40,22059,48921,47971,48014,53056,58871,67336,66770,75173,43882,39368,49100
41,23849,51493,51274,51503,57128,62736,70926,71474,80829,47308,42894,53900
42,25234,54420,56461,54840,61121,67133,75330,75582,85925,51354,46400,58500
43,26636,58553,60603,57842,64519,72150,79896,80567,90939,55277,51555,63000
44,28581,62098,64335,60928,67996,75839,85085,85515,98894,59102,55494,67000
