id,Income,Residence Length,Is Married,Is Female,Has College,Buy
0,24000,26,0,1,1,0
1,75000,15,1,1,1,1
2,46000,36,1,1,0,0
3,70000,55,1,0,0,1
4,43000,27,0,1,0,0
5,24000,41,1,1,0,0
6,26000,20,1,1,1,0
7,38000,8,1,1,0,0
8,39000,17,0,1,1,0
9,49000,31,1,0,0,0
10,75000,13,0,1,1,1
11,31000,51,0,1,1,0
12,10000,6,0,0,0,0
13,22000,2,0,0,0,0
14,39000,24,1,0,0,0
15,2000,52,1,0,0,0
16,75000,9,0,0,0,1
17,69000,0,1,1,0,1
18,60000,6,1,1,0,1
19,12000,22,0,1,0,0
20,42000,46,1,1,0,0
21,4000,15,0,1,0,0
22,75000,12,0,0,0,0
23,45000,20,1,1,1,1
24,21000,2,0,1,1,0
25,75000,16,0,1,1,1
26,23000,2,0,0,1,0
27,38000,33,0,0,0,0
28,12000,5,0,1,0,0
29,46000,16,1,1,0,0
30,50000,7,1,1,0,0
31,46000,17,0,0,0,0
32,75000,36,1,0,0,1
33,4000,1,0,1,0,0
34,33000,43,1,1,0,0
35,26000,33,0,0,0,0
36,75000,12,0,0,0,1
37,33000,15,1,1,1,0
38,4000,0,0,1,0,0
39,49000,10,1,0,0,0
40,21000,20,1,1,0,0
41,20000,1,0,0,0,0
42,15000,3,1,0,0,0
43,25000,23,0,0,0,0
44,40000,13,1,0,1,0
45,75000,12,1,1,1,1
46,33000,20,1,1,0,0
47,10000,0,0,0,1,0
48,20000,29,0,1,0,0
49,2000,14,0,1,0,0
50,43000,0,0,0,1,0
51,11000,0,0,1,1,0
52,18000,24,0,0,0,0
53,7000,10,0,1,0,0
54,75000,18,1,1,0,1
55,2000,2,0,1,0,0
56,7000,13,0,1,0,0
57,0,32,0,1,0,0
58,47000,7,1,1,1,1
59,20000,3,0,1,0,0
60,75000,9,1,1,0,1
61,61000,51,1,1,1,1
62,30000,14,0,0,0,0
63,6000,18,0,1,0,0
64,22000,24,0,0,0,0
65,39000,0,0,0,0,0
66,26000,24,0,1,0,0
67,22000,0,0,1,1,0
68,46000,1,0,0,0,0
69,39000,45,1,1,1,0
70,49000,18,0,0,0,0
71,5000,18,1,1,0,0
72,9000,13,0,0,1,0
73,75000,4,0,0,0,0
74,9000,4,0,0,0,0
75,43000,25,0,1,0,0
76,30000,1,1,1,0,0
77,13000,20,0,0,0,0
78,3000,9,0,1,0,0
79,28000,26,0,0,0,0
80,44000,2,0,0,0,0
81,69000,26,1,1,1,1
82,3000,3,0,0,1,0
83,7000,16,0,0,0,0
84,32000,14,1,0,0,0
85,21000,33,0,0,0,0
86,75000,60,1,1,0,1
87,19000,2,0,0,0,0
88,42000,35,0,0,1,0
89,15000,26,0,0,1,0
90,6000,19,0,0,0,0
91,73000,42,0,0,0,1
92,75000,25,1,1,1,1
93,25000,28,0,1,0,0
94,8000,12,0,1,0,0
95,75000,25,1,0,1,1
96,44000,36,1,1,0,0
97,27000,18,1,0,1,0
98,7000,16,0,0,0,0
99,61000,5,1,0,0,0
100,70000,57,1,0,0,0
101,70000,8,1,0,0,1
102,1000,15,0,1,0,0
103,22000,4,0,1,1,0
104,23000,33,0,1,0,0
105,61000,28,1,1,0,1
106,75000,28,0,0,1,0
107,46000,36,0,1,1,0
108,49000,18,0,0,1,0
109,23000,6,0,0,1,0
110,59000,41,1,1,1,1
111,30000,0,0,1,0,0
112,38000,1,1,0,0,0
113,9000,3,0,1,0,0
114,21000,52,1,1,0,0
115,49000,24,0,1,0,0
116,61000,33,1,1,1,0
117,14000,44,0,1,0,0
118,75000,45,1,0,1,1
119,40000,13,1,0,0,0
120,59000,24,1,1,0,1
121,75000,11,1,1,1,1
122,57000,21,1,1,1,1
123,23000,12,1,0,0,0
124,73000,25,1,1,0,1
125,43000,36,0,1,1,0
126,30000,35,0,1,0,0
