PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1,0,3,0,22.0,1,0,7.25,0
1,2,1,1,1,38.0,1,0,71.2833,1
2,3,1,3,1,26.0,0,0,7.925,0
3,4,1,1,1,35.0,1,0,53.1,0
4,5,0,3,0,35.0,0,0,8.05,0
5,6,0,3,0,47.0,0,0,8.4583,2
6,7,0,1,0,54.0,0,0,51.8625,0
7,8,0,3,0,2.0,3,1,21.075,0
8,9,1,3,1,27.0,0,2,11.1333,0
9,10,1,2,1,14.0,1,0,30.0708,1
10,11,1,3,1,4.0,1,1,16.7,0
11,12,1,1,1,58.0,0,0,26.55,0
12,13,0,3,0,20.0,0,0,8.05,0
13,14,0,3,0,39.0,1,5,31.275,0
14,15,0,3,1,14.0,0,0,7.8542,0
15,16,1,2,1,55.0,0,0,16.0,0
16,17,0,3,0,2.0,4,1,29.125,2
17,18,1,2,0,25.0,0,0,13.0,0
18,19,0,3,1,31.0,1,0,18.0,0
19,20,1,3,1,23.0,0,0,7.225,1
20,21,0,2,0,35.0,0,0,26.0,0
21,22,1,2,0,34.0,0,0,13.0,0
22,23,1,3,1,15.0,0,0,8.0292,2
23,24,1,1,0,28.0,0,0,35.5,0
24,25,0,3,1,8.0,3,1,21.075,0
25,26,1,3,1,38.0,1,5,31.3875,0
26,27,0,3,0,32.0,0,0,7.225,1
27,28,0,1,0,19.0,3,2,263.0,0
28,29,1,3,1,21.0,0,0,7.8792,2
29,30,0,3,0,33.0,0,0,7.8958,0
30,31,0,1,0,40.0,0,0,27.7208,1
31,32,1,1,1,21.0,1,0,146.5208,1
32,33,1,3,1,21.0,0,0,7.75,2
33,34,0,2,0,66.0,0,0,10.5,0
34,35,0,1,0,28.0,1,0,82.1708,1
35,36,0,1,0,42.0,1,0,52.0,0
36,37,1,3,0,24.0,0,0,7.2292,1
37,38,0,3,0,21.0,0,0,8.05,0
38,39,0,3,1,18.0,2,0,18.0,0
39,40,1,3,1,14.0,1,0,11.2417,1
40,41,0,3,1,40.0,1,0,9.475,0
41,42,0,2,1,27.0,1,0,21.0,0
42,43,0,3,0,27.0,0,0,7.8958,1
43,44,1,2,1,3.0,1,2,41.5792,1
44,45,1,3,1,19.0,0,0,7.8792,2
45,46,0,3,0,27.0,0,0,8.05,0
46,47,0,3,0,29.0,1,0,15.5,2
47,48,1,3,1,21.0,0,0,7.75,2
48,49,0,3,0,26.0,2,0,21.6792,1
49,50,0,3,1,18.0,1,0,17.8,0
50,51,0,3,0,7.0,4,1,39.6875,0
51,52,0,3,0,21.0,0,0,7.8,0
52,53,1,1,1,49.0,1,0,76.7292,1
53,54,1,2,1,29.0,1,0,26.0,0
54,55,0,1,0,65.0,0,1,61.9792,1
55,56,1,1,0,49.0,0,0,35.5,0
56,57,1,2,1,21.0,0,0,10.5,0
57,58,0,3,0,28.5,0,0,7.2292,1
58,59,1,2,1,5.0,1,2,27.75,0
59,60,0,3,0,11.0,5,2,46.9,0
60,61,0,3,0,22.0,0,0,7.2292,1
62,63,0,1,0,45.0,1,0,83.475,0
63,64,0,3,0,4.0,3,2,27.9,0
64,65,0,1,0,38.0,0,0,27.7208,1
65,66,1,3,0,16.0,1,1,15.2458,1
66,67,1,2,1,29.0,0,0,10.5,0
67,68,0,3,0,19.0,0,0,8.1583,0
68,69,1,3,1,17.0,4,2,7.925,0
69,70,0,3,0,26.0,2,0,8.6625,0
70,71,0,2,0,32.0,0,0,10.5,0
71,72,0,3,1,16.0,5,2,46.9,0
72,73,0,2,0,21.0,0,0,73.5,0
73,74,0,3,0,26.0,1,0,14.4542,1
74,75,1,3,0,32.0,0,0,56.4958,0
75,76,0,3,0,25.0,0,0,7.65,0
76,77,0,3,0,33.0,0,0,7.8958,0
77,78,0,3,0,27.0,0,0,8.05,0
78,79,1,2,0,0.83,0,2,29.0,0
79,80,1,3,1,30.0,0,0,12.475,0
80,81,0,3,0,22.0,0,0,9.0,0
81,82,1,3,0,29.0,0,0,9.5,0
82,83,1,3,1,21.0,0,0,7.7875,2
83,84,0,1,0,28.0,0,0,47.1,0
84,85,1,2,1,17.0,0,0,10.5,0
85,86,1,3,1,33.0,3,0,15.85,0
86,87,0,3,0,16.0,1,3,34.375,0
87,88,0,3,0,27.0,0,0,8.05,0
88,89,1,1,1,23.0,3,2,263.0,0
89,90,0,3,0,24.0,0,0,8.05,0
90,91,0,3,0,29.0,0,0,8.05,0
91,92,0,3,0,20.0,0,0,7.8542,0
92,93,0,1,0,46.0,1,0,61.175,0
93,94,0,3,0,26.0,1,2,20.575,0
94,95,0,3,0,59.0,0,0,7.25,0
95,96,0,3,0,27.0,0,0,8.05,0
96,97,0,1,0,71.0,0,0,34.6542,1
97,98,1,1,0,23.0,0,1,63.3583,1
98,99,1,2,1,34.0,0,1,23.0,0
99,100,0,2,0,34.0,1,0,26.0,0
100,101,0,3,1,28.0,0,0,7.8958,0
101,102,0,3,0,33.0,0,0,7.8958,0
102,103,0,1,0,21.0,0,1,77.2875,0
103,104,0,3,0,33.0,0,0,8.6542,0
104,105,0,3,0,37.0,2,0,7.925,0
105,106,0,3,0,28.0,0,0,7.8958,0
106,107,1,3,1,21.0,0,0,7.65,0
107,108,1,3,0,34.0,0,0,7.775,0
108,109,0,3,0,38.0,0,0,7.8958,0
109,110,1,3,1,32.0,1,0,24.15,2
110,111,0,1,0,47.0,0,0,52.0,0
111,112,0,3,1,14.5,1,0,14.4542,1
112,113,0,3,0,22.0,0,0,8.05,0
113,114,0,3,1,20.0,1,0,9.825,0
114,115,0,3,1,17.0,0,0,14.4583,1
115,116,0,3,0,21.0,0,0,7.925,0
116,117,0,3,0,70.5,0,0,7.75,2
117,118,0,2,0,29.0,1,0,21.0,0
118,119,0,1,0,24.0,0,1,247.5208,1
119,120,0,3,1,2.0,4,2,31.275,0
120,121,0,2,0,21.0,2,0,73.5,0
121,122,0,3,0,27.0,0,0,8.05,0
122,123,0,2,0,32.5,1,0,30.0708,1
123,124,1,2,1,32.5,0,0,13.0,0
124,125,0,1,0,54.0,0,1,77.2875,0
125,126,1,3,0,12.0,1,0,11.2417,1
126,127,0,3,0,47.0,0,0,7.75,2
127,128,1,3,0,24.0,0,0,7.1417,0
128,129,1,3,1,17.0,1,1,22.3583,1
129,130,0,3,0,45.0,0,0,6.975,0
130,131,0,3,0,33.0,0,0,7.8958,1
131,132,0,3,0,20.0,0,0,7.05,0
132,133,0,3,1,47.0,1,0,14.5,0
133,134,1,2,1,29.0,1,0,26.0,0
134,135,0,2,0,25.0,0,0,13.0,0
135,136,0,2,0,23.0,0,0,15.0458,1
136,137,1,1,1,19.0,0,2,26.2833,0
137,138,0,1,0,37.0,1,0,53.1,0
138,139,0,3,0,16.0,0,0,9.2167,0
139,140,0,1,0,24.0,0,0,79.2,1
140,141,0,3,1,20.0,0,2,15.2458,1
141,142,1,3,1,22.0,0,0,7.75,0
142,143,1,3,1,24.0,1,0,15.85,0
143,144,0,3,0,19.0,0,0,6.75,2
144,145,0,2,0,18.0,0,0,11.5,0
145,146,0,2,0,19.0,1,1,36.75,0
146,147,1,3,0,27.0,0,0,7.7958,0
147,148,0,3,1,9.0,2,2,34.375,0
148,149,0,2,0,36.5,0,2,26.0,0
149,150,0,2,0,42.0,0,0,13.0,0
150,151,0,2,0,51.0,0,0,12.525,0
151,152,1,1,1,22.0,1,0,66.6,0
152,153,0,3,0,55.5,0,0,8.05,0
153,154,0,3,0,40.5,0,2,14.5,0
154,155,0,3,0,34.0,0,0,7.3125,0
155,156,0,1,0,51.0,0,1,61.3792,1
156,157,1,3,1,16.0,0,0,7.7333,2
157,158,0,3,0,30.0,0,0,8.05,0
158,159,0,3,0,28.0,0,0,8.6625,0
159,160,0,3,0,37.0,8,2,69.55,0
160,161,0,3,0,44.0,0,1,16.1,0
161,162,1,2,1,40.0,0,0,15.75,0
162,163,0,3,0,26.0,0,0,7.775,0
163,164,0,3,0,17.0,0,0,8.6625,0
164,165,0,3,0,1.0,4,1,39.6875,0
165,166,1,3,0,9.0,0,2,20.525,0
166,167,1,1,1,33.0,0,1,55.0,0
167,168,0,3,1,45.0,1,4,27.9,0
168,169,0,1,0,44.0,0,0,25.925,0
