Entity,Year,index
East Asia & Pacific,2000,16.2062972635181
East Asia & Pacific,2001,15.980491181652
East Asia & Pacific,2002,15.699981270915199
East Asia & Pacific,2003,15.4956244766805
East Asia & Pacific,2004,15.1754731648081
East Asia & Pacific,2005,14.8314895706041
East Asia & Pacific,2006,14.3915038194153
East Asia & Pacific,2007,13.7455866041226
East Asia & Pacific,2008,13.069691363081699
East Asia & Pacific,2009,12.2353428598294
East Asia & Pacific,2010,11.3898914629043
East Asia & Pacific,2011,10.643880327408
East Asia & Pacific,2012,10.003334599265902
East Asia & Pacific,2013,9.433534533747551
East Asia & Pacific,2014,8.955822908538481
East Asia & Pacific,2015,8.77293614893734
East Asia & Pacific,2016,8.73124032176052
Europe & Central Asia,2000,4.11116396352556
Europe & Central Asia,2001,3.9620656071551
Europe & Central Asia,2002,3.7586416385590695
Europe & Central Asia,2003,3.5356567994830095
Europe & Central Asia,2004,3.32087370578093
Europe & Central Asia,2005,3.1718523601380895
Europe & Central Asia,2006,3.08426545939135
Europe & Central Asia,2007,3.00932551181602
Europe & Central Asia,2008,2.9597019548105497
Europe & Central Asia,2009,2.9239832954454905
Europe & Central Asia,2010,2.89471373942221
Europe & Central Asia,2011,2.86124332297839
Europe & Central Asia,2012,2.8278671724389906
Europe & Central Asia,2013,2.80802487281198
Europe & Central Asia,2014,2.7983818481545697
Europe & Central Asia,2015,2.8087525143296097
Europe & Central Asia,2016,2.83243204767309
Latin America & Caribbean,2000,11.9070870631541
Latin America & Caribbean,2001,11.3054432117312
Latin America & Caribbean,2002,10.767438724844402
Latin America & Caribbean,2003,10.266106765403801
Latin America & Caribbean,2004,9.707249789128868
Latin America & Caribbean,2005,8.99692433495581
Latin America & Caribbean,2006,8.30953485083889
Latin America & Caribbean,2007,7.681754482751431
Latin America & Caribbean,2008,7.282448321747419
Latin America & Caribbean,2009,7.061459318689
Latin America & Caribbean,2010,6.87863171861794
Latin America & Caribbean,2011,6.7086702913771905
Latin America & Caribbean,2012,6.5769276133112005
Latin America & Caribbean,2013,6.44978507028741
Latin America & Caribbean,2014,6.347933726324801
Latin America & Caribbean,2015,6.26203516685703
Latin America & Caribbean,2016,6.20994483927287
Middle East & North Africa,2000,9.466701821463198
Middle East & North Africa,2001,9.41027681381216
Middle East & North Africa,2002,9.47069557035645
Middle East & North Africa,2003,9.54717055881374
Middle East & North Africa,2004,9.60950097164722
Middle East & North Africa,2005,9.6416768245161
Middle East & North Africa,2006,9.601568837969019
Middle East & North Africa,2007,9.49278741716467
Middle East & North Africa,2008,9.335746675530109
Middle East & North Africa,2009,9.02646001780311
Middle East & North Africa,2010,8.71277211565804
Middle East & North Africa,2011,8.49255728237884
Middle East & North Africa,2012,8.40964333660748
Middle East & North Africa,2013,8.524892344859131
Middle East & North Africa,2014,8.710093372525831
Middle East & North Africa,2015,8.96006558713713
Middle East & North Africa,2016,9.134027672950461
North America,2000,2.5
North America,2001,2.5
North America,2002,2.5
North America,2003,2.5
North America,2004,2.5
North America,2005,2.5
North America,2006,2.5
North America,2007,2.5
North America,2008,2.5
North America,2009,2.5
North America,2010,2.5
North America,2011,2.5
North America,2012,2.5
North America,2013,2.5
North America,2014,2.5
North America,2015,2.5
North America,2016,2.5
South Asia,2000,19.4406447941083
South Asia,2001,20.2974694057984
South Asia,2002,21.5250098127172
South Asia,2003,22.2598674933866
South Asia,2004,22.495391055876897
South Asia,2005,21.805507528062
South Asia,2006,20.4802490614246
South Asia,2007,19.1943556503212
South Asia,2008,18.254643869693002
South Asia,2009,17.891940211266398
South Asia,2010,17.732137488615198
South Asia,2011,17.6523478762123
South Asia,2012,17.5052536759274
South Asia,2013,17.1593525398365
South Asia,2014,16.6576068096138
South Asia,2015,16.0749684130129
South Asia,2016,15.6301350458638
Sub-Saharan Africa,2000,27.5988053434452
Sub-Saharan Africa,2001,26.906210655015997
Sub-Saharan Africa,2002,26.3855560319833
Sub-Saharan Africa,2003,25.5482936298276
Sub-Saharan Africa,2004,24.5545544191592
Sub-Saharan Africa,2005,23.5168357029564
Sub-Saharan Africa,2006,22.814036194725
Sub-Saharan Africa,2007,22.313887589009
Sub-Saharan Africa,2008,21.8484724489083
Sub-Saharan Africa,2009,21.2957967519573
Sub-Saharan Africa,2010,20.772216500567
Sub-Saharan Africa,2011,20.3301618177339
Sub-Saharan Africa,2012,20.2087554307999
Sub-Saharan Africa,2013,20.000093453789603
Sub-Saharan Africa,2014,20.033630860074698
Sub-Saharan Africa,2015,20.539639930272102
Sub-Saharan Africa,2016,21.3302713427987
World,2000,14.8
World,2001,14.9
World,2002,15.1
World,2003,15.1
World,2004,14.8
World,2005,14.5
World,2006,13.8
World,2007,13.1
World,2008,12.6
World,2009,12.2
World,2010,11.8
World,2011,11.5
World,2012,11.3
World,2013,11.0
World,2014,10.7
World,2015,10.6
World,2016,10.8
